epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08057,0.47225,2.40844,1.04889,0.00333,1,0.995,0.96535,0.2345,2.63391,0.73214,0.0002,0.0002,0.0002
2,11.0405,0.40561,1.56677,0.93785,0.00333,1,0.995,0.96394,0.25602,2.58221,0.75225,0.000415842,0.000415842,0.000415842
3,16.1479,0.38887,1.08531,0.89998,0.98917,1,0.995,0.9182,0.3873,2.03149,0.84359,0.000627328,0.000627328,0.000627328
4,20.8368,0.39956,0.85659,0.91304,0.99755,1,0.995,0.92849,0.45221,1.45817,0.93245,0.000834458,0.000834458,0.000834458
5,26.0109,0.39058,0.75979,0.92349,0.99855,1,0.995,0.89791,0.37551,1.15928,0.9355,0.00103723,0.00103723,0.00103723
6,30.746,0.38583,0.73624,0.91707,0.99817,1,0.995,0.89851,0.42873,1.26985,0.92812,0.00123565,0.00123565,0.00123565
7,36.5127,0.41536,0.7161,0.91886,0.99113,1,0.995,0.9722,0.30195,1.79354,0.777,0.00142971,0.00142971,0.00142971
8,41.2159,0.41899,0.68069,0.93483,0.99798,1,0.995,0.98977,0.29952,1.53673,0.753,0.00161942,0.00161942,0.00161942
9,46.2705,0.41032,0.64979,0.93332,0.99809,1,0.995,0.99164,0.31756,1.00392,0.82526,0.00180477,0.00180477,0.00180477
10,50.9377,0.3947,0.60894,0.92123,0.99837,1,0.995,0.98166,0.26981,1.01974,0.79945,0.0018218,0.0018218,0.0018218
11,55.525,0.37467,0.56214,0.91332,0.99868,1,0.995,0.95823,0.3165,0.57906,0.78348,0.001802,0.001802,0.001802
12,60.3498,0.37025,0.53838,0.91165,0.9987,1,0.995,0.92891,0.28721,0.43792,0.76724,0.0017822,0.0017822,0.0017822
13,64.996,0.34931,0.51898,0.90388,0.99858,1,0.995,0.96322,0.27398,0.53816,0.75897,0.0017624,0.0017624,0.0017624
14,69.9463,0.36514,0.51206,0.91311,0.99831,1,0.995,0.92995,0.35373,0.63694,0.87034,0.0017426,0.0017426,0.0017426
15,74.5195,0.36045,0.49791,0.90806,0.99807,1,0.995,0.96626,0.31701,0.63688,0.79999,0.0017228,0.0017228,0.0017228
16,79.2727,0.36223,0.4794,0.91232,0.99719,1,0.995,0.95055,0.28417,0.80612,0.76155,0.001703,0.001703,0.001703
17,84.4366,0.3765,0.47118,0.90292,0.99659,1,0.995,0.9798,0.25828,0.73775,0.71679,0.0016832,0.0016832,0.0016832
18,89.5702,0.35848,0.46144,0.88771,0.99583,1,0.995,0.98124,0.29846,0.77873,0.7574,0.0016634,0.0016634,0.0016634
19,94.3875,0.35632,0.45478,0.89942,0.99848,1,0.995,0.98816,0.23798,0.43039,0.70417,0.0016436,0.0016436,0.0016436
20,99.026,0.33026,0.42093,0.89097,0.99863,1,0.995,0.94998,0.26997,0.41387,0.74052,0.0016238,0.0016238,0.0016238
21,103.884,0.32254,0.39786,0.89158,0.99876,1,0.995,0.9889,0.23967,0.325,0.72229,0.001604,0.001604,0.001604
22,108.76,0.33382,0.39949,0.88597,0.99877,1,0.995,0.99115,0.28448,0.41064,0.76356,0.0015842,0.0015842,0.0015842
23,113.894,0.33184,0.39267,0.89027,0.99876,1,0.995,0.96116,0.26605,0.29669,0.72176,0.0015644,0.0015644,0.0015644
24,118.477,0.33439,0.3742,0.87959,0.99872,1,0.995,0.98025,0.24323,0.30525,0.71614,0.0015446,0.0015446,0.0015446
25,123.106,0.33178,0.37016,0.90295,0.99868,1,0.995,0.98439,0.31337,0.33172,0.77603,0.0015248,0.0015248,0.0015248
